title,year,url
I Stand Alone,1998,https://letterboxd.com/film/i-stand-alone/
Humanité,1999,https://letterboxd.com/film/humanite/
The Others,2001,https://letterboxd.com/film/the-others/
Amores Perros,2000,https://letterboxd.com/film/amores-perros/
Sólo con tu pareja,1991,https://letterboxd.com/film/solo-con-tu-pareja/
Heart of a Dog,2015,https://letterboxd.com/film/heart-of-a-dog-2015/
My Life as a Dog,1985,https://letterboxd.com/film/my-life-as-a-dog/
Post Tenebras Lux,2012,https://letterboxd.com/film/post-tenebras-lux/
Mirai,2018,https://letterboxd.com/film/mirai/
The Nightingale,2018,https://letterboxd.com/film/the-nightingale-2018/
Koyaanisqatsi,1982,https://letterboxd.com/film/koyaanisqatsi/
Un Chien Andalou,1929,https://letterboxd.com/film/un-chien-andalou/
Life of Brian,1979,https://letterboxd.com/film/life-of-brian/
Tombstone,1993,https://letterboxd.com/film/tombstone/
Ghost Stories,2017,https://letterboxd.com/film/ghost-stories-2017/
Day for Night,1973,https://letterboxd.com/film/day-for-night/
Aparajito,1956,https://letterboxd.com/film/aparajito/
Basquiat,1996,https://letterboxd.com/film/basquiat/
"Like Father, Like Son",2013,https://letterboxd.com/film/like-father-like-son-2013/
Krisha,2015,https://letterboxd.com/film/krisha-2015/
Con Air,1997,https://letterboxd.com/film/con-air/
JFK,1991,https://letterboxd.com/film/jfk/
Nixon,1995,https://letterboxd.com/film/nixon/
Step Brothers,2008,https://letterboxd.com/film/step-brothers/
Loveless,2017,https://letterboxd.com/film/loveless-2017/
Welcome to Marwen,2018,https://letterboxd.com/film/welcome-to-marwen/
Christiane F.,1981,https://letterboxd.com/film/christiane-f/
Ivan's Childhood,1962,https://letterboxd.com/film/ivans-childhood/
F for Fake,1973,https://letterboxd.com/film/f-for-fake/
Touch of Evil,1958,https://letterboxd.com/film/touch-of-evil/
They'll Love Me When I'm Dead,2018,https://letterboxd.com/film/theyll-love-me-when-im-dead/
The White Ribbon,2009,https://letterboxd.com/film/the-white-ribbon/
Animal House,1978,https://letterboxd.com/film/animal-house/
