iter	Passed	Remaining
1192	15356	10387
1193	15369	10374
1194	15377	10358
1195	15389	10345
1196	15403	10333
1197	15416	10320
1198	15428	10307
1199	15441	10294
1200	15455	10282
1201	15467	10269
1202	15481	10256
1203	15494	10243
1204	15507	10231
1205	15520	10218
1206	15533	10205
1207	15546	10192
1208	15558	10179
1209	15570	10165
1210	15583	10153
1211	15597	10140
1212	15611	10128
1213	15624	10115
1214	15638	10103
1215	15650	10090
1216	15663	10077
1217	15677	10065
1218	15689	10051
1219	15703	10039
1220	15717	10027
1221	15730	10015
1222	15744	10002
1223	15758	9990
1224	15771	9978
1225	15784	9965
1226	15797	9952
1227	15810	9939
1228	15824	9927
1229	15837	9914
1230	15851	9902
1231	15863	9888
1232	15876	9876
1233	15889	9863
1234	15897	9847
1235	15910	9834
1236	15924	9822
1237	15938	9809
1238	15950	9797
1239	15967	9786
1240	15980	9773
1241	15992	9760
1242	16006	9747
1243	16020	9735
1244	16033	9723
1245	16046	9710
1246	16058	9696
1247	16071	9684
1248	16075	9665
1249	16088	9652
1250	16101	9640
1251	16114	9627
1252	16129	9615
1253	16142	9603
1254	16155	9590
1255	16168	9577
1256	16184	9566
1257	16198	9554
1258	16211	9541
1259	16223	9528
1260	16236	9515
1261	16250	9502
1262	16263	9490
1263	16277	9477
1264	16289	9464
1265	16303	9452
1266	16315	9439
1267	16329	9426
1268	16343	9414
1269	16360	9404
1270	16375	9392
1271	16389	9379
1272	16401	9366
1273	16414	9354
1274	16427	9341
1275	16440	9328
1276	16455	9316
1277	16468	9303
1278	16480	9290
1279	16493	9277
1280	16506	9264
1281	16519	9251
1282	16532	9238
1283	16545	9226
1284	16560	9214
1285	16573	9201
1286	16586	9188
1287	16599	9176
1288	16612	9163
1289	16625	9150
1290	16638	9137
1291	16652	9125
1292	16665	9112
1293	16678	9099
1294	16691	9087
1295	16704	9074
1296	16717	9061
1297	16730	9048
1298	16743	9035
1299	16756	9022
1300	16769	9010
1301	16782	8997
1302	16796	8984
1303	16808	8971
1304	16821	8958
1305	16834	8945
1306	16848	8933
1307	16860	8920
1308	16873	8907
1309	16886	8894
1310	16894	8878
1311	16907	8866
1312	16919	8852
1313	16932	8839
1314	16944	8826
1315	16949	8809
1316	16962	8796
1317	16976	8784
1318	16989	8771
1319	17002	8758
1320	17008	8742
1321	17021	8729
1322	17034	8716
1323	17047	8703
1324	17060	8691
1325	17064	8674
1326	17077	8661
1327	17093	8649
1328	17106	8636
1329	17119	8623
1330	17131	8610
1331	17145	8598
1332	17158	8585
1333	17172	8573
1334	17185	8560
1335	17198	8547
1336	17203	8530
1337	17217	8518
1338	17230	8505
1339	17242	8492
1340	17257	8480
1341	17271	8468
1342	17283	8455
1343	17296	8442
1344	17309	8429
1345	17322	8416
1346	17335	8404
1347	17348	8391
1348	17361	8378
1349	17374	8365
1350	17387	8352
1351	17400	8339
1352	17413	8326
1353	17420	8311
1354	17433	8298
1355	17446	8285
1356	17459	8273
1357	17472	8260
1358	17486	8247
1359	17499	8234
1360	17512	8222
1361	17525	8209
1362	17538	8196
1363	17550	8183
1364	17563	8170
1365	17578	8158
1366	17591	8145
1367	17603	8132
1368	17617	8120
1369	17629	8106
1370	17641	8093
1371	17654	8081
1372	17667	8068
1373	17680	8055
1374	17694	8042
1375	17707	8030
1376	17719	8017
1377	17732	8004
1378	17745	7991
1379	17758	7978
1380	17771	7965
1381	17784	7952
1382	17797	7940
1383	17810	7927
1384	17823	7914
1385	17836	7901
1386	17848	7888
1387	17861	7875
1388	17875	7863
1389	17889	7850
1390	17902	7838
1391	17915	7825
1392	17928	7812
1393	17941	7799
1394	17954	7786
1395	17967	7773
1396	17980	7761
1397	17993	7748
1398	18007	7735
1399	18020	7723
1400	18033	7710
1401	18045	7697
1402	18058	7684
1403	18071	7671
1404	18084	7658
1405	18097	7645
1406	18110	7633
1407	18124	7620
1408	18137	7607
1409	18150	7594
1410	18162	7581
1411	18175	7568
1412	18183	7553
1413	18191	7538
1414	18205	7526
1415	18208	7509
1416	18211	7492
1417	18223	7479
1418	18235	7466
1419	18249	7453
1420	18261	7440
1421	18274	7427
1422	18287	7415
1423	18300	7402
1424	18313	7389
1425	18326	7376
1426	18339	7363
1427	18352	7351
1428	18364	7338
1429	18378	7325
1430	18391	7312
1431	18404	7300
1432	18416	7287
1433	18430	7274
1434	18443	7261
1435	18456	7248
1436	18469	7235
1437	18481	7223
1438	18495	7210
1439	18507	7197
1440	18520	7184
1441	18534	7172
1442	18547	7159
1443	18560	7146
1444	18573	7133
1445	18586	7121
1446	18600	7108
1447	18614	7096
1448	18632	7085
1449	18648	7073
1450	18661	7060
1451	18674	7047
1452	18686	7034
1453	18699	7021
1454	18712	7009
1455	18724	6995
1456	18737	6983
1457	18750	6970
1458	18764	6957
1459	18776	6944
1460	18780	6928
1461	18793	6915
1462	18800	6900
1463	18813	6888
1464	18826	6875
1465	18840	6862
1466	18853	6849
1467	18866	6837
1468	18879	6824
1469	18891	6811
1470	18904	6798
1471	18917	6785
1472	18930	6772
1473	18948	6761
1474	18969	6751
1475	18984	6739
1476	18997	6726
1477	19010	6714
1478	19023	6701
1479	19037	6688
1480	19050	6675
1481	19063	6663
1482	19077	6650
1483	19091	6638
1484	19107	6626
1485	19120	6613
1486	19133	6600
1487	19146	6587
1488	19158	6574
1489	19172	6562
1490	19186	6549
1491	19199	6537
1492	19212	6524
1493	19227	6512
1494	19240	6499
1495	19252	6486
1496	19265	6473
1497	19278	6460
1498	19291	6447
1499	19305	6435
1500	19317	6422
1501	19330	6409
1502	19343	6396
1503	19356	6383
1504	19368	6370
1505	19382	6357
1506	19395	6345
1507	19408	6332
1508	19421	6319
1509	19434	6306
1510	19447	6293
1511	19461	6281
1512	19474	6268
1513	19488	6255
1514	19502	6243
1515	19515	6230
1516	19528	6217
1517	19541	6204
1518	19554	6191
1519	19567	6179
1520	19580	6166
1521	19593	6153
1522	19607	6140
1523	19619	6127
1524	19633	6115
1525	19647	6102
1526	19659	6089
1527	19672	6076
1528	19685	6063
1529	19697	6050
1530	19711	6038
1531	19724	6025
1532	19736	6012
1533	19749	5999
1534	19761	5986
1535	19774	5973
1536	19788	5960
1537	19802	5948
1538	19816	5935
1539	19829	5923
1540	19841	5909
1541	19854	5897
1542	19867	5884
1543	19880	5871
1544	19893	5858
1545	19907	5846
1546	19920	5833
1547	19932	5820
1548	19944	5807
1549	19957	5794
1550	19970	5781
1551	19983	5768
1552	19996	5755
1553	20010	5742
1554	20023	5730
1555	20036	5717
1556	20049	5704
1557	20062	5691
1558	20074	5678
1559	20087	5665
1560	20100	5652
1561	20112	5639
1562	20126	5627
1563	20138	5614
1564	20151	5601
1565	20164	5588
1566	20177	5575
1567	20190	5562
1568	20203	5549
1569	20215	5536
1570	20229	5524
1571	20242	5511
1572	20255	5498
1573	20268	5485
1574	20281	5472
1575	20293	5459
1576	20307	5447
1577	20321	5434
1578	20334	5421
1579	20348	5409
1580	20361	5396
1581	20374	5383
1582	20388	5370
1583	20401	5357
1584	20414	5345
1585	20428	5332
1586	20441	5319
1587	20453	5306
1588	20467	5293
1589	20479	5280
1590	20491	5267
1591	20505	5255
1592	20518	5242
1593	20531	5229
1594	20545	5216
1595	20558	5203
1596	20572	5191
1597	20585	5178
1598	20598	5165
1599	20610	5152
1600	20622	5139
1601	20635	5126
1602	20649	5114
1603	20662	5101
1604	20675	5088
1605	20687	5075
1606	20700	5062
1607	20712	5049
1608	20726	5036
1609	20740	5024
1610	20753	5011
1611	20766	4998
1612	20779	4985
1613	20792	4972
1614	20805	4959
1615	20818	4946
1616	20831	4934
1617	20844	4921
1618	20857	4908
1619	20870	4895
1620	20883	4882
1621	20896	4869
1622	20908	4856
1623	20921	4843
1624	20934	4831
1625	20947	4818
1626	20961	4805
